Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83985;16/03/1962;0000;;22.6;;;1.8;21.14;91;3.333333;
83985;16/03/1962;1200;6.5;;19.6;;;;;;
83985;17/03/1962;0000;;27.4;;;2.4;22.82;91.75;1.333333;
83985;17/03/1962;1200;151;;19.6;;;;;;
83985;18/03/1962;0000;;27.4;;;3.3;23.66;91.25;0.666667;
83985;18/03/1962;1200;15.2;;22;;;;;;
83985;19/03/1962;0000;;28;;;1.4;24.34;76.75;3.333333;
83985;19/03/1962;1200;0;;14.8;;;;;;
83985;20/03/1962;0000;;27;;;1.8;22.18;63;0;
83985;20/03/1962;1200;11;;16.2;;;;;;
83985;21/03/1962;0000;;30.3;;;3.6;21.72;62.75;4;
83985;21/03/1962;1200;26.5;;14.6;;;;;;
83985;22/03/1962;0000;;25.1;;;3.3;19.36;82;2.666667;
83985;22/03/1962;1200;0;;16.2;;;;;;
83985;23/03/1962;0000;;24.5;;;4.4;17.64;81.5;1.333333;
83985;23/03/1962;1200;0;;11.6;;;;;;
83985;24/03/1962;0000;;27;;;4.7;21.8;82.5;2.666667;
83985;24/03/1962;1200;0;;15.1;;;;;;
83985;25/03/1962;0000;;30.2;;;4.4;24.08;84.75;2;
83985;25/03/1962;1200;0;;20.5;;;;;;
83985;26/03/1962;0000;;27.2;;;2.3;23.22;91.75;1.333333;
83985;26/03/1962;1200;25;;21;;;;;;
83985;27/03/1962;0000;;30.6;;;4.5;24.66;85.75;2;
83985;27/03/1962;1200;4.2;;21.6;;;;;;
83985;28/03/1962;0000;;27;;;2.5;22.98;90;0.666667;
83985;28/03/1962;1200;0;;19.6;;;;;;
83985;29/03/1962;0000;;26.1;;;2.3;21.78;89;1.333333;
83985;29/03/1962;1200;0;;19.9;;;;;;
83985;30/03/1962;0000;;28.4;;;2.2;21.04;82;0.666667;
83985;30/03/1962;1200;5.5;;16;;;;;;
83985;31/03/1962;0000;;27.9;;;4.5;20.98;88.25;0;
83985;31/03/1962;1200;0;;14.7;;;;;;
83985;01/04/1962;0000;;28.8;;;1.5;23;86.5;1.333333;
83985;01/04/1962;1200;0;;19.5;;;;;;
83985;02/04/1962;0000;;16.9;;;1.1;14.04;75.25;4;
83985;02/04/1962;1200;36;;7.2;;;;;;
83985;03/04/1962;0000;;18.7;;;1.5;15.04;65.5;5.333333;
83985;03/04/1962;1200;0;;5.4;;;;;;
83985;04/04/1962;0000;;20.5;;;1.9;17;63.75;4;
83985;04/04/1962;1200;0;;8.2;;;;;;
83985;05/04/1962;0000;;25.7;;;6;20.08;83;2.666667;
83985;05/04/1962;1200;0;;13.4;;;;;;
83985;06/04/1962;0000;;29.3;;;3.9;22.54;90;0.666667;
83985;06/04/1962;1200;0;;18.7;;;;;;
83985;07/04/1962;0000;;31.8;;;2.2;22.38;86.25;2;
83985;07/04/1962;1200;0;;19.2;;;;;;
83985;08/04/1962;0000;;20.4;;;0.3;17.42;92.75;2.666667;
83985;08/04/1962;1200;66.5;;15;;;;;;
83985;09/04/1962;0000;;15.8;;;0.8;12.06;86.5;2;
83985;09/04/1962;1200;5;;5.2;;;;;;
83985;10/04/1962;0000;;22.6;;;0.3;14.52;76;1.333333;
83985;10/04/1962;1200;0;;5.5;;;;;;
83985;11/04/1962;0000;;24.7;;;3.1;16.78;78.75;2;
83985;11/04/1962;1200;0;;5.7;;;;;;
83985;12/04/1962;0000;;27.8;;;2.2;18.38;72.5;0.666667;
83985;12/04/1962;1200;0;;6.9;;;;;;
83985;13/04/1962;0000;;24.9;;;3;17.2;78.75;1.333333;
83985;13/04/1962;1200;0;;9.3;;;;;;
83985;14/04/1962;0000;;24.7;;;2.5;18.06;80.75;0.666667;
83985;14/04/1962;1200;0;;7.8;;;;;;
83985;15/04/1962;0000;;24.9;;;1.5;18.84;84.25;3.333333;
83985;15/04/1962;1200;0.3;;13.5;;;;;;
83985;16/04/1962;0000;;24.8;;;2.7;17.32;71.5;5.333333;
83985;16/04/1962;1200;0;;8.8;;;;;;
83985;17/04/1962;0000;;24.2;;;3.4;17.06;83.5;2;
83985;17/04/1962;1200;0;;7.8;;;;;;
83985;18/04/1962;0000;;24.2;;;1.2;18.32;75.75;3.333333;
83985;18/04/1962;1200;0;;8.7;;;;;;
83985;19/04/1962;0000;;25;;;2.2;19.22;79.25;2.666667;
83985;19/04/1962;1200;0;;9.5;;;;;;
83985;20/04/1962;0000;;24.2;;;2.3;19.26;76.75;3.333333;
83985;20/04/1962;1200;0;;10.6;;;;;;
83985;21/04/1962;0000;;24.8;;;2.2;19;79.75;3.333333;
83985;21/04/1962;1200;0;;9.1;;;;;;
83985;22/04/1962;0000;;24.2;;;2.5;16.6;81.5;1.333333;
83985;22/04/1962;1200;0;;10.1;;;;;;
83985;23/04/1962;0000;;21;;;2.9;12.44;79.25;4.666667;
83985;23/04/1962;1200;0;;5;;;;;;
83985;24/04/1962;0000;;20.4;;;2.9;11.62;83.5;2.666667;
83985;24/04/1962;1200;0;;3.1;;;;;;
83985;25/04/1962;0000;;20.4;;;2.2;12.7;79.75;1.333333;
83985;25/04/1962;1200;0;;4;;;;;;
83985;26/04/1962;0000;;17.4;;;1.1;10.54;64;5;
83985;26/04/1962;1200;0;;4.1;;;;;;
83985;27/04/1962;0000;;17.2;;;4.1;10.22;64.5;7.333333;
83985;27/04/1962;1200;0;;;;;;;;
83985;28/04/1962;0000;;21;;;4.1;13.52;50.5;0.666667;
83985;28/04/1962;1200;0;;3.2;;;;;;
83985;29/04/1962;0000;;22;;;2.1;14.96;83;1.333333;
83985;29/04/1962;1200;0;;5.3;;;;;;
83985;30/04/1962;0000;;21.9;;;1.3;14.22;93.5;0;
83985;30/04/1962;1200;0;;4.9;;;;;;
83985;01/05/1962;0000;;28.3;;;7.2;19.24;60.25;0.666667;
83985;01/05/1962;1200;0;;5.2;;;;;;
83985;02/05/1962;0000;;25.7;;;1.5;19.56;61.75;3.333333;
83985;02/05/1962;1200;0;;11.2;;;;;;
83985;03/05/1962;0000;;21;;;0.9;12.94;43.25;5.333333;
83985;03/05/1962;1200;0;;4.8;;;;;;
83985;04/05/1962;0000;;20.6;;;5.2;13.02;62.25;2.666667;
83985;04/05/1962;1200;0;;5.2;;;;;;
83985;05/05/1962;0000;;21.3;;;4.2;14.36;38;2;
83985;05/05/1962;1200;0;;5.2;;;;;;
83985;06/05/1962;0000;;19.7;;;4.9;11.7;71;2;
83985;06/05/1962;1200;0;;3.4;;;;;;
83985;07/05/1962;0000;;11.5;;;2.9;7.04;93.25;2;
83985;07/05/1962;1200;0;;1.2;;;;;;
83985;08/05/1962;0000;;19.2;;;0.5;11.48;79.75;4.666667;
83985;08/05/1962;1200;0;;1.3;;;;;;
83985;09/05/1962;0000;;21;;;1.8;12.42;82.25;4;
83985;09/05/1962;1200;0;;1.8;;;;;;
83985;10/05/1962;0000;;24.7;;;2.5;14.24;78.75;2;
83985;10/05/1962;1200;0;;3.2;;;;;;
83985;11/05/1962;0000;;22.6;;;2.4;15.1;88;0.666667;
83985;11/05/1962;1200;0;;9;;;;;;
83985;12/05/1962;0000;;24.8;;;1.8;15.98;77;2.666667;
83985;12/05/1962;1200;0;;8.5;;;;;;
83985;13/05/1962;0000;;25.3;;;2.3;16;88;3.333333;
83985;13/05/1962;1200;0;;7.5;;;;;;
83985;14/05/1962;0000;;23.9;;;1.7;15.78;81;4.666667;
83985;14/05/1962;1200;0;;8.8;;;;;;
83985;15/05/1962;0000;;25.2;;;1.6;15.54;82.75;0;
83985;15/05/1962;1200;0;;5.8;;;;;;
83985;16/05/1962;0000;;24.7;;;2.7;14.54;85;4.666667;
83985;16/05/1962;1200;0;;6.7;;;;;;
83985;17/05/1962;0000;;17.4;;;1.2;8.84;81.75;5.333333;
83985;17/05/1962;1200;17.3;;-0.5;;;;;;
83985;18/05/1962;0000;;18.7;;;0.9;8.84;67.75;3.333333;
83985;18/05/1962;1200;0;;-0.4;;;;;;
83985;19/05/1962;0000;;18;;;2.4;10.38;82.75;0.666667;
83985;19/05/1962;1200;0;;-0.2;;;;;;
83985;20/05/1962;0000;;20.5;;;1.2;15.56;92;1.333333;
83985;20/05/1962;1200;0;;6.8;;;;;;
83985;21/05/1962;0000;;19.5;;;0.8;16.66;95.75;2;
83985;21/05/1962;1200;0;;12.2;;;;;;
83985;22/05/1962;0000;;20;;;0.2;14;96.75;2;
83985;22/05/1962;1200;28.7;;8.3;;;;;;
83985;23/05/1962;0000;;19;;;1.8;12.56;71.25;4.666667;
83985;23/05/1962;1200;0;;5.2;;;;;;
83985;24/05/1962;0000;;20.3;;;1.8;12;95.75;4.666667;
83985;24/05/1962;1200;0;;3.8;;;;;;
83985;25/05/1962;0000;;19.9;;;2.1;11.94;85.5;3.333333;
83985;25/05/1962;1200;0;;0.5;;;;;;
83985;26/05/1962;0000;;19.8;;;1.5;12.78;87.75;2;
83985;26/05/1962;1200;0;;5.4;;;;;;
83985;27/05/1962;0000;;15;;;1.6;11.34;90.25;3.333333;
83985;27/05/1962;1200;0;;5.6;;;;;;
83985;28/05/1962;0000;;13.4;;;2.3;7.18;62.5;6;
83985;28/05/1962;1200;0;;1.2;;;;;;
83985;29/05/1962;0000;;13;;;2.9;8.14;57.75;14;
83985;29/05/1962;1200;0;;-0.4;;;;;;
83985;30/05/1962;0000;;15.2;;;1.6;7.56;83;6.666667;
83985;30/05/1962;1200;0;;1.3;;;;;;
83985;31/05/1962;0000;;16.2;;;1;9.04;92.25;4;
83985;31/05/1962;1200;0;;-0.4;;;;;;
83985;01/06/1962;0000;;19.6;;;0.5;11.34;79.25;1.333333;
83985;01/06/1962;1200;0;;4.5;;;;;;
83985;02/06/1962;0000;;13;;;2;11.1;84;4;
83985;02/06/1962;1200;0;;7.7;;;;;;
83985;03/06/1962;0000;;12.4;;;1.2;7.92;84.75;4.666667;
83985;03/06/1962;1200;6.8;;1.4;;;;;;
83985;04/06/1962;0000;;19.8;;;2.9;9.46;81;1.333333;
83985;04/06/1962;1200;0;;2.3;;;;;;
83985;05/06/1962;0000;;18.7;;;2;8.68;83.25;2;
83985;05/06/1962;1200;0;;2.4;;;;;;
83985;06/06/1962;0000;;17.7;;;1.6;9.04;83.75;0;
83985;06/06/1962;1200;0;;6.2;;;;;;
